user_id,age,travel_type,region_visited,spending_usd,num_reviews,days_trip,social_shares,satisfaction_score,would_recommend
U0001,56,Turismo,Costa,379.47,14,8,0,4.19,1
U0002,46,Negocios,Costa,286.09,1,10,5,4.02,1
U0003,32,Familiar,Costa,421.81,9,12,3,5.0,1
U0004,60,Turismo,Costa,345.81,17,9,2,4.38,1
U0005,25,Negocios,Selva,310.14,14,7,4,3.56,1
U0006,38,Negocios,Costa,396.96,13,8,4,4.3,1
U0007,56,Turismo,Selva,330.91,13,10,6,4.24,1
U0008,36,Turismo,Sierra,485.88,6,12,3,4.38,1
U0009,40,Turismo,Sierra,217.52,7,7,2,3.48,1
U0010,28,Negocios,Sierra,226.98,2,2,0,3.49,0
U0011,28,Turismo,Costa,334.91,8,5,3,3.8,1
U0012,41,Turismo,Costa,147.27,6,9,3,4.14,1
U0013,53,Turismo,Costa,325.98,3,8,4,3.67,1
U0014,57,Turismo,Sierra,233.04,18,4,3,3.69,1
U0015,41,Turismo,Costa,398.0,18,11,4,4.7,1
U0016,20,Negocios,Sierra,324.45,6,4,1,3.82,1
U0017,39,Pareja,Costa,378.45,11,12,0,4.88,1
U0018,19,Turismo,Costa,179.65,3,4,3,3.35,0
U0019,41,Turismo,Costa,442.8,16,13,2,4.53,1
U0020,61,Negocios,Selva,250.65,5,2,3,3.5,0
U0021,47,Turismo,Sierra,422.34,2,11,2,4.61,1
U0022,55,Negocios,Costa,196.15,15,2,3,3.76,1
U0023,19,Turismo,Sierra,294.07,16,7,3,4.58,1
U0024,38,Pareja,Costa,94.09,7,2,0,3.25,1
U0025,50,Turismo,Selva,312.61,16,6,1,3.51,1
U0026,29,Negocios,Sierra,296.36,4,5,2,4.38,1
U0027,39,Negocios,Costa,248.7,16,6,4,3.57,1
U0028,61,Turismo,Sierra,304.52,17,8,3,4.21,1
U0029,42,Negocios,Costa,253.12,2,7,0,3.76,0
U0030,44,Negocios,Selva,482.25,16,13,5,3.99,1
U0031,59,Familiar,Costa,353.9,4,10,3,4.6,1
U0032,45,Turismo,Sierra,298.07,7,7,2,4.22,1
U0033,33,Turismo,Costa,403.65,18,10,2,4.14,1
U0034,32,Pareja,Sierra,277.44,6,5,2,3.98,1
U0035,64,Negocios,Sierra,222.6,18,2,1,3.77,1
U0036,61,Pareja,Sierra,203.18,7,2,0,3.12,0
U0037,20,Turismo,Sierra,404.27,2,11,5,4.29,0
U0038,54,Familiar,Selva,337.13,19,8,5,4.85,1
U0039,24,Turismo,Costa,483.71,9,14,0,5.0,0
U0040,38,Familiar,Costa,486.14,4,14,1,5.0,1
U0041,26,Pareja,Costa,399.83,14,14,2,4.82,1
U0042,56,Turismo,Selva,209.02,5,4,2,3.41,0
U0043,35,Pareja,Costa,206.49,7,3,4,4.1,1
U0044,21,Turismo,Sierra,328.12,8,7,2,4.34,1
U0045,42,Turismo,Sierra,385.41,15,7,5,4.16,1
U0046,31,Turismo,Costa,420.41,19,14,3,4.81,1
U0047,26,Turismo,Costa,371.69,11,8,2,4.04,1
U0048,43,Negocios,Costa,254.87,4,6,4,3.6,0
U0049,19,Turismo,Costa,418.5,18,9,4,4.37,1
U0050,37,Turismo,Costa,423.37,14,8,2,4.42,1
U0051,45,Familiar,Costa,129.26,6,3,0,4.23,0
U0052,64,Familiar,Selva,178.12,16,2,5,4.03,1
U0053,24,Turismo,Selva,343.56,18,14,2,4.44,1
U0054,61,Turismo,Costa,287.7,1,10,3,4.63,1
U0055,25,Turismo,Costa,201.94,8,6,0,3.62,0
U0056,64,Negocios,Costa,470.05,1,13,5,5.0,1
U0057,52,Negocios,Sierra,438.48,1,12,3,4.24,1
U0058,31,Turismo,Selva,323.38,19,6,3,4.32,1
U0059,34,Turismo,Costa,469.24,10,13,1,4.78,1
U0060,53,Pareja,Costa,418.66,18,11,6,3.99,1
U0061,57,Turismo,Sierra,266.69,12,5,2,4.0,1
U0062,21,Turismo,Sierra,210.11,17,3,4,3.81,1
U0063,19,Turismo,Costa,334.29,1,6,3,4.03,1
U0064,23,Negocios,Sierra,217.27,8,3,1,3.47,1
U0065,59,Turismo,Costa,465.11,10,13,3,4.73,1
U0066,21,Turismo,Costa,211.24,10,8,3,3.44,0
U0067,46,Turismo,Sierra,357.88,18,12,1,3.61,1
U0068,35,Turismo,Selva,421.2,9,10,5,4.73,1
U0069,43,Pareja,Costa,338.77,2,10,2,4.13,0
U0070,61,Familiar,Selva,346.86,3,12,8,5.0,1
U0071,51,Turismo,Costa,337.6,2,7,5,4.64,1
U0072,27,Turismo,Sierra,194.5,6,2,3,3.96,1
U0073,53,Turismo,Costa,440.72,12,14,2,4.59,1
U0074,31,Negocios,Selva,380.99,19,7,0,3.63,1
U0075,48,Turismo,Selva,350.19,15,6,2,3.67,1
U0076,32,Negocios,Costa,251.7,19,5,6,3.82,1
U0077,25,Turismo,Selva,474.97,12,13,4,3.89,1
U0078,31,Turismo,Selva,193.6,18,7,3,3.59,1
U0079,40,Negocios,Sierra,360.2,16,7,4,4.01,1
U0080,57,Pareja,Costa,251.2,2,7,2,3.66,0
U0081,38,Pareja,Selva,144.05,11,3,2,3.13,0
U0082,33,Familiar,Selva,238.49,12,8,2,4.11,1
U0083,62,Turismo,Costa,167.97,5,5,3,3.89,0
U0084,35,Familiar,Selva,515.08,6,14,3,4.76,1
U0085,64,Negocios,Costa,470.41,11,13,5,4.88,1
U0086,41,Familiar,Costa,333.9,10,10,5,4.71,1
U0087,43,Negocios,Sierra,437.16,4,11,2,4.44,1
U0088,42,Familiar,Sierra,186.91,9,3,0,3.63,1
U0089,62,Turismo,Sierra,299.5,12,6,1,3.5,0
U0090,58,Familiar,Costa,236.98,10,5,3,4.73,1
U0091,46,Pareja,Selva,366.19,14,10,2,4.42,1
U0092,32,Negocios,Costa,215.69,5,5,5,4.18,1
U0093,62,Turismo,Costa,311.98,1,9,2,4.25,0
U0094,18,Pareja,Costa,377.18,5,9,2,4.36,0
U0095,42,Turismo,Sierra,340.77,16,7,5,4.18,1
U0096,24,Familiar,Selva,284.83,5,7,7,3.67,1
U0097,26,Turismo,Sierra,340.35,5,12,4,3.95,1
U0098,41,Turismo,Selva,473.53,18,9,5,4.16,1
U0099,18,Turismo,Costa,440.68,6,13,3,4.59,1
U0100,61,Negocios,Sierra,476.67,18,14,5,4.39,1
U0101,25,Familiar,Costa,375.78,10,13,2,5.0,1
U0102,41,Turismo,Costa,455.17,15,11,6,4.68,1
U0103,28,Turismo,Costa,440.59,11,10,2,5.0,1
U0104,34,Turismo,Sierra,197.91,19,6,1,4.44,1
U0105,25,Turismo,Sierra,411.51,13,12,1,4.04,0
U0106,52,Familiar,Sierra,185.42,3,2,8,3.82,1
U0107,52,Pareja,Costa,313.86,16,2,5,3.97,1
U0108,50,Turismo,Costa,288.84,7,3,4,3.92,0
U0109,22,Familiar,Sierra,321.87,12,11,1,4.17,1
U0110,59,Familiar,Costa,358.01,15,11,6,4.49,1
U0111,56,Turismo,Selva,238.67,8,6,1,3.85,0
U0112,58,Pareja,Sierra,279.68,17,5,5,3.53,1
U0113,45,Negocios,Costa,273.05,1,2,2,3.89,0
U0114,24,Negocios,Selva,266.55,8,5,6,3.71,1
U0115,26,Familiar,Sierra,286.15,14,5,3,4.16,1
U0116,25,Turismo,Costa,361.19,10,11,6,4.19,1
U0117,29,Familiar,Sierra,285.89,19,5,3,4.17,1
U0118,51,Familiar,Costa,170.84,8,2,6,3.68,1
U0119,50,Negocios,Selva,290.15,19,10,5,4.13,1
U0120,40,Familiar,Selva,260.42,4,4,1,4.42,1
U0121,41,Turismo,Selva,460.58,10,14,3,4.7,1
U0122,54,Turismo,Sierra,206.24,3,5,3,3.76,1
U0123,52,Turismo,Costa,365.58,4,6,2,4.48,1
U0124,61,Pareja,Sierra,422.75,16,14,4,4.12,1
U0125,57,Negocios,Costa,491.52,4,14,2,5.0,1
U0126,39,Turismo,Sierra,309.63,13,8,4,3.7,1
U0127,44,Turismo,Sierra,382.71,17,7,4,4.38,1
U0128,52,Familiar,Costa,271.44,16,6,0,4.57,1
U0129,18,Turismo,Costa,266.24,17,9,4,3.91,1
U0130,52,Negocios,Selva,234.94,6,2,2,3.87,0
U0131,54,Turismo,Selva,404.73,3,8,3,4.36,1
U0132,64,Turismo,Costa,417.47,4,13,3,5.0,1
U0133,31,Familiar,Costa,339.48,8,7,2,4.59,1
U0134,20,Turismo,Costa,423.1,9,12,0,4.61,1
U0135,18,Negocios,Selva,264.18,1,6,1,3.67,0
U0136,22,Pareja,Costa,369.79,13,8,5,3.82,1
U0137,43,Negocios,Sierra,198.87,2,4,4,3.5,0
U0138,31,Pareja,Costa,196.06,10,2,2,3.61,1
U0139,56,Turismo,Sierra,385.06,19,10,1,4.35,1
U0140,44,Familiar,Costa,227.71,17,3,1,3.68,1
U0141,26,Turismo,Sierra,422.3,13,14,3,4.47,1
U0142,32,Negocios,Costa,497.39,14,11,3,4.92,1
U0143,32,Familiar,Sierra,301.99,11,4,3,4.31,1
U0144,43,Familiar,Costa,399.49,10,9,5,4.19,1
U0145,59,Familiar,Sierra,510.51,7,13,4,5.0,1
U0146,30,Negocios,Selva,397.85,10,11,3,4.27,1
U0147,49,Familiar,Costa,353.63,1,10,0,4.65,0
U0148,56,Familiar,Selva,406.62,14,14,7,4.1,1
U0149,49,Turismo,Sierra,203.7,3,4,3,4.06,1
U0150,21,Familiar,Costa,254.83,13,7,4,4.41,1
U0151,47,Familiar,Costa,301.35,2,8,4,4.04,0
U0152,54,Turismo,Costa,208.26,17,2,4,3.83,1
U0153,40,Negocios,Sierra,373.45,3,8,1,4.25,1
U0154,56,Turismo,Sierra,305.41,15,5,4,4.23,1
U0155,62,Negocios,Costa,224.74,8,6,3,3.86,0
U0156,32,Turismo,Sierra,384.43,6,9,4,4.22,1
U0157,60,Turismo,Selva,318.29,9,5,2,3.69,1
U0158,46,Negocios,Selva,248.38,11,5,5,3.93,1
U0159,53,Turismo,Sierra,409.86,2,9,3,4.03,0
U0160,30,Negocios,Selva,327.1,9,6,1,3.69,1
U0161,49,Familiar,Sierra,397.84,18,14,4,4.78,1
U0162,24,Pareja,Costa,415.12,19,7,6,4.01,1
U0163,39,Negocios,Selva,403.07,18,13,1,4.94,1
U0164,45,Pareja,Costa,464.5,5,12,3,5.0,1
U0165,19,Turismo,Costa,329.38,18,6,2,4.02,1
U0166,59,Turismo,Costa,133.24,12,2,6,3.15,1
U0167,62,Negocios,Selva,336.7,4,8,1,4.17,1
U0168,23,Turismo,Selva,350.98,15,7,4,3.91,1
U0169,45,Familiar,Costa,154.93,11,3,2,4.31,1
U0170,45,Familiar,Costa,421.61,19,12,5,4.71,1
U0171,61,Negocios,Costa,377.39,5,8,2,4.52,1
U0172,61,Negocios,Sierra,358.4,6,7,1,4.1,1
U0173,37,Turismo,Costa,263.46,13,6,2,3.82,1
U0174,47,Turismo,Sierra,427.19,10,9,5,4.38,1
U0175,28,Negocios,Costa,348.59,14,6,2,4.46,1
U0176,45,Turismo,Costa,428.69,4,12,2,4.68,1
U0177,42,Familiar,Costa,183.71,12,3,3,4.05,1
U0178,56,Pareja,Costa,247.24,15,7,4,3.78,1
U0179,50,Turismo,Selva,457.73,10,13,2,4.91,1
U0180,18,Pareja,Costa,267.66,11,2,4,4.15,1
U0181,44,Turismo,Costa,275.96,9,6,4,3.93,1
U0182,30,Turismo,Costa,262.58,11,7,3,4.04,1
U0183,58,Negocios,Costa,369.0,2,8,7,4.76,1
U0184,20,Turismo,Costa,225.38,13,3,0,3.46,0
U0185,56,Pareja,Costa,220.23,8,2,4,3.92,1
U0186,23,Turismo,Sierra,279.27,8,7,5,3.74,1
U0187,25,Turismo,Sierra,220.38,1,4,3,4.17,0
U0188,44,Turismo,Costa,256.81,6,6,0,4.03,0
